log_id,user_id,session_start,session_end,duration_sec,upload_bytes,download_bytes,src_ip,dest_domain,dest_ip,protocol,category,is_abnormal
1,1,2025-01-10 05:28:20,2025-01-10 06:09:20,2460,45744,457447,10.210.241.224,icourse163.org,115.182.76.3,HTTPS,学习,0
2,1,2025-01-10 02:45:08,2025-01-10 03:59:08,4440,141253,1977553,10.244.192.81,weibo.com,129.173.90.173,HTTPS,社交,0
3,1,2025-01-10 21:29:58,2025-01-10 21:49:58,1200,42226,633396,10.135.247.50,stackoverflow.com,61.164.78.84,HTTPS,其他,0
4,1,2025-01-10 12:17:35,2025-01-10 12:38:35,1260,16439,213720,10.147.106.177,coursera.org,80.233.220.161,HTTPS,学习,0
5,1,2024-12-29 11:20:30,2024-12-29 11:38:30,1080,24492,293908,10.147.62.147,wiley.com,79.27.214.38,HTTPS,学习,0
6,1,2024-12-29 09:24:57,2024-12-29 09:29:57,300,22424,179393,10.148.21.74,ifeng.com,186.253.108.41,HTTPS,新闻,0
7,1,2024-12-29 17:22:59,2024-12-29 17:58:59,2160,69851,1327172,10.109.103.212,weibo.com,155.36.42.34,HTTPS,社交,0
8,1,2025-01-06 23:17:59,2025-01-06 23:38:59,1260,110471,883773,10.55.122.63,dangdang.com,69.68.41.104,HTTPS,购物,0
9,1,2024-11-18 14:42:57,2024-11-18 15:14:57,1920,79239,871636,10.26.51.106,weibo.com,5.102.214.219,HTTPS,社交,0
10,1,2024-11-18 22:45:30,2024-11-18 22:59:30,840,16536,132294,10.2.80.105,cnki.net,152.142.165.219,HTTPS,学习,0
11,1,2025-01-12 09:30:41,2025-01-12 10:29:41,3540,108991,1416894,10.164.146.166,douban.com,196.73.197.113,HTTPS,社交,0
12,1,2025-01-12 09:58:49,2025-01-12 10:35:49,2220,30697,337669,10.19.89.107,icourse163.org,194.111.205.172,HTTPS,学习,0
13,1,2025-01-12 12:59:58,2025-01-12 13:09:58,600,6235,99764,10.253.95.240,coursera.org,4.170.162.76,HTTPS,学习,0
14,1,2024-09-06 21:56:02,2024-09-06 22:14:02,1080,11209,78466,10.171.145.117,cnki.net,196.196.30.221,HTTPS,学习,0
15,1,2024-09-06 23:33:31,2024-09-06 23:52:31,1140,13618,245136,10.139.98.208,ieee.org,24.157.54.73,HTTPS,学习,0
16,1,2024-09-06 21:21:10,2024-09-06 22:15:10,3240,124262,1118366,10.7.172.203,icourse163.org,163.218.49.156,HTTPS,学习,0
17,1,2024-09-24 07:36:43,2024-09-24 08:19:43,2580,88307,1412917,10.218.167.23,netflix.com,198.42.209.147,HTTPS,休闲,0
18,1,2024-09-24 06:42:06,2024-09-24 07:54:06,4320,62088,1179682,10.165.127.2,wiley.com,133.83.146.156,HTTPS,学习,0
19,1,2024-09-24 12:24:15,2024-09-24 13:27:15,3780,103630,1450827,10.154.5.67,cnki.net,37.43.13.206,HTTPS,学习,0
20,1,2024-12-10 17:44:15,2024-12-10 19:22:15,5880,80530,1449553,10.157.81.104,weixin.qq.com,205.192.136.112,HTTPS,社交,0
21,1,2024-12-10 15:59:57,2024-12-10 16:03:57,240,9002,117032,10.188.113.57,zhihu.com,137.157.215.237,HTTPS,社交,0
22,1,2024-12-10 07:30:09,2024-12-10 08:33:09,3780,97866,1467991,10.212.241.194,coursera.org,7.231.132.107,HTTPS,学习,0
23,1,2025-01-02 20:51:42,2025-01-02 21:08:42,1020,134782,808693,10.228.185.20,tencent.com,12.240.127.195,HTTPS,休闲,0
