borrow_id,user_id,book_isbn,book_title,category,borrow_date,due_date,return_date,renew_count,library_branch
1,5,978-7-216,学术参考资料,TP31,2025-11-30,2025-12-30,2025-12-10,0,主图书馆
2,6,978-7-339,学术参考资料,I247,2025-09-24,2025-10-24,2025-10-02,0,主图书馆
3,6,978-7-519,学术参考资料,TP31,2025-12-14,2026-01-13,2026-01-05,0,主图书馆
4,6,978-7-943,学术参考资料,I247,2025-09-30,2025-10-30,2025-10-13,0,主图书馆
5,6,978-7-849,学术参考资料,TP31,2025-12-26,2026-01-25,2026-01-15,0,主图书馆
6,6,978-7-193,学术参考资料,TP31,2025-12-01,2025-12-31,2025-12-07,0,主图书馆
7,7,978-7-446,学术参考资料,I247,2025-11-02,2025-12-02,2025-11-19,0,主图书馆
8,9,978-7-468,学术参考资料,TP31,2025-10-25,2025-11-24,2025-11-03,0,主图书馆
9,9,978-7-331,学术参考资料,TP31,2025-11-25,2025-12-25,2025-12-20,0,主图书馆
10,10,978-7-312,学术参考资料,I247,2025-10-17,2025-11-16,2025-11-11,0,主图书馆
11,10,978-7-701,学术参考资料,I247,2025-09-20,2025-10-20,2025-10-03,0,主图书馆
12,10,978-7-699,学术参考资料,TP31,2025-12-02,2026-01-01,2025-12-08,0,主图书馆
13,10,978-7-996,学术参考资料,TP31,2025-12-11,2026-01-10,2026-01-04,0,主图书馆
14,11,978-7-514,学术参考资料,I247,2025-11-02,2025-12-02,2025-11-22,0,主图书馆
15,14,978-7-987,学术参考资料,TP31,2025-10-25,2025-11-24,2025-11-14,0,主图书馆
16,14,978-7-960,学术参考资料,I247,2025-11-10,2025-12-10,2025-11-18,0,主图书馆
17,14,978-7-287,学术参考资料,TP31,2025-11-13,2025-12-13,2025-11-19,0,主图书馆
18,14,978-7-788,学术参考资料,TP31,2025-12-01,2025-12-31,2025-12-10,0,主图书馆
19,14,978-7-811,学术参考资料,I247,2025-12-14,2026-01-13,2025-12-30,0,主图书馆
20,15,978-7-493,学术参考资料,I247,2025-09-07,2025-10-07,2025-10-01,0,主图书馆
21,16,978-7-943,学术参考资料,TP31,2025-11-27,2025-12-27,2025-12-12,0,主图书馆
22,16,978-7-166,学术参考资料,TP31,2025-09-19,2025-10-19,2025-10-01,0,主图书馆
23,16,978-7-492,学术参考资料,TP31,2025-09-21,2025-10-21,2025-10-04,0,主图书馆
24,16,978-7-484,学术参考资料,I247,2025-11-24,2025-12-24,2025-12-02,0,主图书馆
25,16,978-7-228,学术参考资料,TP31,2025-09-03,2025-10-03,2025-09-12,0,主图书馆
26,17,978-7-835,学术参考资料,I247,2025-12-20,2026-01-19,2026-01-14,0,主图书馆
27,17,978-7-467,学术参考资料,I247,2025-12-17,2026-01-16,2026-01-01,0,主图书馆
28,19,978-7-220,学术参考资料,TP31,2025-09-18,2025-10-18,2025-10-04,0,主图书馆
29,20,978-7-744,学术参考资料,TP31,2025-11-03,2025-12-03,2025-11-15,0,主图书馆
30,21,978-7-346,学术参考资料,TP31,2025-10-05,2025-11-04,2025-10-28,0,主图书馆
31,21,978-7-544,学术参考资料,I247,2025-11-15,2025-12-15,2025-12-04,0,主图书馆
32,21,978-7-242,学术参考资料,I247,2025-10-16,2025-11-15,2025-11-01,0,主图书馆
33,21,978-7-592,学术参考资料,TP31,2025-09-03,2025-10-03,2025-09-10,0,主图书馆
34,22,978-7-503,学术参考资料,I247,2025-12-13,2026-01-12,2025-12-20,0,主图书馆
35,22,978-7-230,学术参考资料,TP31,2025-09-19,2025-10-19,2025-10-11,0,主图书馆
36,22,978-7-360,学术参考资料,TP31,2025-09-01,2025-10-01,2025-09-22,0,主图书馆
37,25,978-7-828,学术参考资料,TP31,2025-09-05,2025-10-05,2025-09-20,0,主图书馆
38,25,978-7-448,学术参考资料,I247,2025-10-11,2025-11-10,2025-11-04,0,主图书馆
39,27,978-7-821,学术参考资料,TP31,2025-12-06,2026-01-05,2025-12-23,0,主图书馆
40,27,978-7-587,学术参考资料,I247,2025-11-13,2025-12-13,2025-12-01,0,主图书馆
41,27,978-7-479,学术参考资料,I247,2025-09-18,2025-10-18,2025-09-29,0,主图书馆
42,27,978-7-819,学术参考资料,I247,2025-09-18,2025-10-18,2025-10-09,0,主图书馆
43,27,978-7-320,学术参考资料,TP31,2025-10-06,2025-11-05,2025-10-21,0,主图书馆
44,28,978-7-582,学术参考资料,TP31,2025-11-02,2025-12-02,2025-11-10,0,主图书馆
45,29,978-7-337,学术参考资料,TP31,2025-10-26,2025-11-25,2025-11-12,0,主图书馆
46,29,978-7-103,学术参考资料,TP31,2025-12-01,2025-12-31,2025-12-11,0,主图书馆
47,29,978-7-682,学术参考资料,I247,2025-10-07,2025-11-06,2025-10-16,0,主图书馆
48,29,978-7-251,学术参考资料,TP31,2025-11-09,2025-12-09,2025-12-03,0,主图书馆
49,29,978-7-160,学术参考资料,TP31,2025-11-19,2025-12-19,2025-12-04,0,主图书馆
50,30,978-7-742,学术参考资料,I247,2025-09-06,2025-10-06,2025-09-17,0,主图书馆
51,30,978-7-689,学术参考资料,I247,2025-12-14,2026-01-13,2025-12-28,0,主图书馆
52,32,978-7-828,学术参考资料,TP31,2025-09-23,2025-10-23,2025-10-05,0,主图书馆
53,33,978-7-716,学术参考资料,TP31,2025-12-22,2026-01-21,2026-01-13,0,主图书馆
54,33,978-7-212,学术参考资料,I247,2025-09-12,2025-10-12,2025-09-18,0,主图书馆
55,33,978-7-841,学术参考资料,TP31,2025-09-07,2025-10-07,2025-09-27,0,主图书馆
56,33,978-7-505,学术参考资料,TP31,2025-11-17,2025-12-17,2025-12-01,0,主图书馆
57,33,978-7-454,学术参考资料,I247,2025-09-10,2025-10-10,2025-10-03,0,主图书馆
58,38,978-7-891,学术参考资料,TP31,2025-12-03,2026-01-02,2025-12-16,0,主图书馆
59,38,978-7-623,学术参考资料,I247,2025-12-18,2026-01-17,2026-01-10,0,主图书馆
60,38,978-7-319,学术参考资料,I247,2025-12-20,2026-01-19,2025-12-26,0,主图书馆
61,39,978-7-697,学术参考资料,TP31,2025-11-15,2025-12-15,2025-12-06,0,主图书馆
62,39,978-7-171,学术参考资料,TP31,2025-12-12,2026-01-11,2025-12-17,0,主图书馆
63,39,978-7-389,学术参考资料,TP31,2025-12-21,2026-01-20,2026-01-12,0,主图书馆
64,39,978-7-300,学术参考资料,I247,2025-11-12,2025-12-12,2025-11-22,0,主图书馆
65,40,978-7-286,学术参考资料,I247,2025-12-16,2026-01-15,2026-01-06,0,主图书馆
66,40,978-7-159,学术参考资料,I247,2025-11-30,2025-12-30,2025-12-10,0,主图书馆
67,40,978-7-717,学术参考资料,I247,2025-10-06,2025-11-05,2025-10-25,0,主图书馆
68,40,978-7-669,学术参考资料,TP31,2025-12-09,2026-01-08,2025-12-17,0,主图书馆
69,41,978-7-922,学术参考资料,TP31,2025-11-27,2025-12-27,2025-12-06,0,主图书馆
70,43,978-7-429,学术参考资料,TP31,2025-09-28,2025-10-28,2025-10-10,0,主图书馆
71,47,978-7-831,学术参考资料,TP31,2025-09-20,2025-10-20,2025-09-26,0,主图书馆
72,47,978-7-558,学术参考资料,TP31,2025-12-20,2026-01-19,2025-12-28,0,主图书馆
73,47,978-7-520,学术参考资料,I247,2025-10-18,2025-11-17,2025-11-06,0,主图书馆
74,47,978-7-284,学术参考资料,TP31,2025-10-29,2025-11-28,2025-11-13,0,主图书馆
75,47,978-7-652,学术参考资料,I247,2025-10-08,2025-11-07,2025-10-17,0,主图书馆
76,49,978-7-929,学术参考资料,I247,2025-10-18,2025-11-17,2025-11-12,0,主图书馆
77,49,978-7-340,学术参考资料,I247,2025-12-05,2026-01-04,2025-12-23,0,主图书馆
78,50,978-7-204,学术参考资料,TP31,2025-12-05,2026-01-04,2025-12-26,0,主图书馆
79,50,978-7-719,学术参考资料,TP31,2025-12-13,2026-01-12,2025-12-29,0,主图书馆
80,50,978-7-707,学术参考资料,TP31,2025-10-02,2025-11-01,2025-10-21,0,主图书馆
81,50,978-7-576,学术参考资料,TP31,2025-12-02,2026-01-01,2025-12-19,0,主图书馆
82,54,978-7-449,学术参考资料,I247,2025-12-24,2026-01-23,2026-01-04,0,主图书馆
83,54,978-7-558,学术参考资料,TP31,2025-09-25,2025-10-25,2025-10-07,0,主图书馆
